Placement plan ready. cells=120 depth_bands=12 lateral_bins=10 usable_depth_m=[1,6] total_samples=100000.
Acceptance-weighted cell quotas ready. feasible_cells=120, acceptance_rate[min/avg/max]=0.008/0.7912/1, quota[min/max]=15/1052, total=100000.
Batch complete: +200 images (total 200/100000) | batch_time_s=9.20 total_time_s=9.20 | managed_mb=4.6 working_set_mb=386.6
Batch complete: +200 images (total 400/100000) | batch_time_s=8.84 total_time_s=18.04 | managed_mb=3.9 working_set_mb=395.7
Batch complete: +200 images (total 600/100000) | batch_time_s=8.79 total_time_s=26.83 | managed_mb=4.9 working_set_mb=396.4
Batch complete: +200 images (total 800/100000) | batch_time_s=8.76 total_time_s=35.59 | managed_mb=4.7 working_set_mb=397.0
Batch complete: +200 images (total 1000/100000) | batch_time_s=8.78 total_time_s=44.38 | managed_mb=4.6 working_set_mb=396.1
Batch complete: +200 images (total 1200/100000) | batch_time_s=8.86 total_time_s=53.24 | managed_mb=4.3 working_set_mb=396.6
Batch complete: +200 images (total 1400/100000) | batch_time_s=8.91 total_time_s=62.15 | managed_mb=4.9 working_set_mb=396.0
Batch complete: +200 images (total 1600/100000) | batch_time_s=8.92 total_time_s=71.07 | managed_mb=4.2 working_set_mb=396.2
Batch complete: +200 images (total 1800/100000) | batch_time_s=8.93 total_time_s=79.99 | managed_mb=5.2 working_set_mb=396.8
Batch complete: +200 images (total 2000/100000) | batch_time_s=8.95 total_time_s=88.94 | managed_mb=4.8 working_set_mb=397.1
Batch complete: +200 images (total 2200/100000) | batch_time_s=8.96 total_time_s=97.90 | managed_mb=3.7 working_set_mb=397.4
Batch complete: +200 images (total 2400/100000) | batch_time_s=8.97 total_time_s=106.87 | managed_mb=4.3 working_set_mb=397.1
Batch complete: +200 images (total 2600/100000) | batch_time_s=8.95 total_time_s=115.82 | managed_mb=4.9 working_set_mb=396.8
Batch complete: +200 images (total 2800/100000) | batch_time_s=8.95 total_time_s=124.78 | managed_mb=4.4 working_set_mb=397.2
Batch complete: +200 images (total 3000/100000) | batch_time_s=8.98 total_time_s=133.76 | managed_mb=4.9 working_set_mb=397.3
Batch complete: +200 images (total 3200/100000) | batch_time_s=9.01 total_time_s=142.77 | managed_mb=4.0 working_set_mb=396.5
Batch complete: +200 images (total 3400/100000) | batch_time_s=9.01 total_time_s=151.78 | managed_mb=4.1 working_set_mb=396.7
Batch complete: +200 images (total 3600/100000) | batch_time_s=9.02 total_time_s=160.79 | managed_mb=4.2 working_set_mb=396.6
Batch complete: +200 images (total 3800/100000) | batch_time_s=8.99 total_time_s=169.79 | managed_mb=3.7 working_set_mb=397.7
Batch complete: +200 images (total 4000/100000) | batch_time_s=9.01 total_time_s=178.80 | managed_mb=4.9 working_set_mb=397.3
Batch complete: +200 images (total 4200/100000) | batch_time_s=9.08 total_time_s=187.88 | managed_mb=4.0 working_set_mb=396.9
Batch complete: +200 images (total 4400/100000) | batch_time_s=9.11 total_time_s=196.99 | managed_mb=4.5 working_set_mb=397.5
Batch complete: +200 images (total 4600/100000) | batch_time_s=9.02 total_time_s=206.02 | managed_mb=4.4 working_set_mb=397.4
Batch complete: +200 images (total 4800/100000) | batch_time_s=9.03 total_time_s=215.04 | managed_mb=4.1 working_set_mb=397.4
Batch complete: +200 images (total 5000/100000) | batch_time_s=9.09 total_time_s=224.13 | managed_mb=4.6 working_set_mb=397.8
Batch complete: +200 images (total 5200/100000) | batch_time_s=9.13 total_time_s=233.26 | managed_mb=4.1 working_set_mb=397.4
Batch complete: +200 images (total 5400/100000) | batch_time_s=9.14 total_time_s=242.41 | managed_mb=4.6 working_set_mb=397.8
Batch complete: +200 images (total 5600/100000) | batch_time_s=9.13 total_time_s=251.53 | managed_mb=3.9 working_set_mb=397.0
Batch complete: +200 images (total 5800/100000) | batch_time_s=9.18 total_time_s=260.72 | managed_mb=4.3 working_set_mb=397.7
Batch complete: +200 images (total 6000/100000) | batch_time_s=9.26 total_time_s=269.98 | managed_mb=3.7 working_set_mb=397.6
Batch complete: +200 images (total 6200/100000) | batch_time_s=9.17 total_time_s=279.15 | managed_mb=4.8 working_set_mb=397.5
Batch complete: +200 images (total 6400/100000) | batch_time_s=9.25 total_time_s=288.41 | managed_mb=4.5 working_set_mb=397.6
